              n              m            jnm       jnm_deri            ynm       ynm_deri
              8              6  2.9545660D+01  2.7889269D+01  2.7910525D+01  2.9525960D+01
              8              7  3.2795800D+01  3.1155327D+01  3.1173702D+01  3.2778568D+01
              8              8  3.6025615D+01  3.4396629D+01  3.4412862D+01  3.6010262D+01
              8              9  3.9240448D+01  3.7620078D+01  3.7634649D+01  3.9226579D+01
              9              1  1.3354300D+01  1.0711434D+01  1.1064090D+01  1.3232404D+01
              9              2  1.7241220D+01  1.5286738D+01  1.5361301D+01  1.7186757D+01
              9              3  2.0807048D+01  1.9004594D+01  1.9047950D+01  2.0770763D+01
              9              4  2.4233885D+01  2.2501399D+01  2.2532765D+01  2.4206152D+01
              9              5  2.7583749D+01  2.5891277D+01  2.5916205D+01  2.7561059D+01
              9              6  3.0885379D+01  2.9218563D+01  2.9239421D+01  3.0866054D+01
              9              7  3.4154378D+01  3.2505247D+01  3.2523271D+01  3.4137477D+01
              9              8  3.7400100D+01  3.5763793D+01  3.5779715D+01  3.7385040D+01
              9              9  4.0628554D+01  3.9001903D+01  3.9016197D+01  4.0614946D+01
