n	m	jnm_deri
82	5	109.76856
35	20	109.82378
74	7	109.83035
14	29	109.84427
23	25	109.89252
78	6	109.94854
67	9	110.04408
43	17	110.08046
12	30	110.08298
92	3	110.23454
10	31	110.28402
87	4	110.28483
21	26	110.30323
28	23	110.30581
98	2	110.30918
38	19	110.41436
46	16	110.43493
8	32	110.44787
64	10	110.46454
33	21	110.48371
6	33	110.57491
71	8	110.60566
4	34	110.66545
19	27	110.67345
49	15	110.699
2	35	110.71969
0	35	110.73775
61	11	110.74488
26	24	110.81473
83	5	110.86215
52	14	110.86823
58	12	110.89883
41	18	110.92372
55	13	110.93711
75	7	110.95515
17	28	111.00414
79	6	111.05789
31	22	111.09595
36	20	111.13713
68	9	111.1984
24	25	111.28093
93	3	111.29344
15	29	111.29613
99	2	111.34805
44	17	111.34956
88	4	111.36151
13	30	111.55015
65	10	111.6329
29	23	111.66243
47	16	111.68896
22	26	111.70571
39	19	111.71163
72	8	111.74472
11	31	111.7668
34	21	111.81006
62	11	111.92723
50	15	111.93828
9	32	111.94658
84	5	111.95507
76	7	112.079
7	33	112.08993
20	27	112.09019
53	14	112.09302
59	12	112.09521
56	13	112.14762
80	6	112.16642
27	24	112.18486
5	34	112.19716
42	18	112.20537
3	35	112.26851
1	36	112.30415
69	9	112.35148
94	3	112.35196
100	2	112.38667
18	28	112.43536
32	22	112.43537
89	4	112.43765
37	20	112.44716
45	17	112.61601
25	25	112.66471
16	29	112.74207
66	10	112.79987
73	8	112.88269
48	16	112.94056
40	19	113.00584
14	30	113.01106
30	23	113.01502
85	5	113.04732
23	26	113.1033
63	11	113.10805
35	21	113.13289
51	15	113.17533
77	7	113.2019
12	31	113.24298
81	6	113.27416
60	12	113.2899
54	14	113.31577
57	13	113.35627
95	3	113.41008
101	2	113.42504
10	32	113.43834
43	18	113.48422
21	27	113.50177
70	9	113.50333
90	4	113.51328
28	24	113.55073
8	33	113.5976
6	34	113.72111
38	20	113.75394
33	22	113.77107
4	35	113.80913
19	28	113.86114
2	36	113.86187
0	36	113.87944
46	17	113.87987
67	10	113.96548
74	8	114.01959
26	25	114.04399
86	5	114.13891
17	29	114.18228
49	16	114.18979
64	11	114.28736
41	19	114.29707
78	7	114.32389
31	23	114.36369
82	6	114.38111
52	15	114.41021
36	21	114.4523
15	30	114.46594
96	3	114.46782
61	12	114.48293
24	26	114.49615
55	14	114.53653
58	13	114.5631
91	4	114.58838
71	9	114.65399
13	31	114.71279
44	18	114.76032
22	27	114.90837
29	24	114.91246
11	32	114.92339
39	20	115.05758
9	33	115.09819
34	22	115.10317
68	10	115.12975
47	17	115.14122
75	8	115.15545
87	5	115.22987
7	34	115.23759
20	28	115.28167
5	35	115.34188
3	36	115.41128
27	25	115.41893
50	16	115.4367
79	7	115.44497
1	37	115.44595
65	11	115.46519
83	6	115.48729
97	3	115.52518
42	19	115.5854
18	29	115.61695
53	15	115.64295
92	4	115.66298
62	12	115.67433
32	23	115.70855
56	14	115.75534
59	13	115.76814
37	21	115.76838
72	9	115.80348
25	26	115.88442
16	30	115.91499
45	18	116.03375
14	31	116.17647
30	24	116.27019
76	8	116.29028
69	10	116.29272
23	27	116.31014
88	5	116.32019
40	20	116.35815
48	17	116.40011
12	32	116.40196
35	22	116.43175
80	7	116.56517
98	3	116.58217
10	33	116.59197
84	6	116.59272
66	11	116.64159
51	16	116.68135
21	28	116.69711
93	4	116.73708
8	34	116.74689
28	25	116.78963
63	12	116.86415
6	35	116.86705
43	19	116.8709
54	15	116.87362
73	9	116.95182
4	36	116.9527
60	13	116.97144
57	14	116.97224
2	37	117.00403
0	37	117.02112
19	29	117.04627
33	23	117.04971
38	21	117.08123
26	26	117.26824
46	18	117.30457
17	30	117.3584
89	5	117.4099
77	8	117.42411
70	10	117.45442
31	24	117.62401
15	31	117.63421
99	3	117.63879
41	20	117.65574
49	17	117.65659
81	7	117.6845
85	6	117.6974
24	27	117.70722
36	22	117.75692
94	4	117.81069
67	11	117.81656
13	32	117.8743
52	16	117.92379
64	12	118.05241
11	33	118.07917
74	9	118.09903
55	15	118.10227
22	28	118.10763
44	19	118.15365
29	25	118.15623
61	13	118.17304
58	14	118.18728
9	34	118.24927
7	35	118.38493
34	23	118.38727
39	21	118.39092
20	29	118.4704
5	36	118.48644
90	5	118.499
3	37	118.554
78	8	118.55696
47	18	118.57286
1	38	118.58774
71	10	118.61485
27	26	118.64774
100	3	118.69506
18	30	118.79636
86	6	118.80136
82	7	118.80297
95	4	118.88382
50	17	118.91074
42	20	118.95042
32	24	118.97406
68	11	118.99016
37	22	119.07878
16	31	119.08622
25	27	119.09976
53	16	119.16407
65	12	119.23915
75	9	119.24513
56	15	119.32892
14	32	119.3406
62	13	119.37297
59	14	119.40051
45	19	119.43371
23	28	119.51337
30	25	119.51885
12	33	119.56003
91	5	119.5875
79	8	119.68883
40	21	119.69755
35	23	119.72134
10	34	119.74496
101	3	119.75097
72	10	119.77407
48	18	119.83866
21	29	119.88952
8	35	119.89578
87	6	119.9046
83	7	119.92061
96	4	119.95647
6	36	120.01277
28	26	120.02306
4	37	120.09617
2	38	120.14615
69	11	120.16239
51	17	120.16259
0	38	120.1628
19	30	120.22904
43	20	120.24226
33	24	120.32042
76	9	120.39015
38	22	120.39739
54	16	120.40224
66	12	120.4244
26	27	120.4879
17	31	120.53268
57	15	120.55364
63	13	120.57127
60	14	120.61194
92	5	120.67541
46	19	120.71116
15	32	120.80106
80	8	120.81976
31	25	120.8776
24	28	120.91448
73	10	120.93207
41	21	121.00119
88	6	121.00714
97	4	121.02866
13	33	121.03475
84	7	121.03742
36	23	121.052
49	18	121.10204
11	34	121.23421
22	29	121.30377
70	11	121.3333
29	26	121.3943
9	35	121.39984
52	17	121.41221
44	20	121.53133
7	36	121.53197
77	9	121.53411
67	12	121.60818
5	37	121.63084
55	16	121.63836
20	30	121.65661
34	24	121.66319
3	38	121.69665
39	22	121.71286
1	39	121.72953
93	5	121.76275
64	13	121.76797
58	15	121.77646
61	14	121.82164
27	27	121.87176
81	8	121.94975
18	31	121.97377
47	19	121.98604
74	10	122.08889
98	4	122.10039
89	6	122.10898
85	7	122.15342
32	25	122.23258
16	32	122.25589
42	21	122.30191
25	28	122.3111
50	18	122.36306
37	23	122.37935
71	11	122.5029
14	33	122.50355
53	17	122.65965
78	9	122.67702
23	29	122.7133
12	34	122.71723
30	26	122.76158
68	12	122.79054
45	20	122.81771
94	5	122.84952
56	16	122.87246
10	35	122.89737
65	13	122.9631
59	15	122.99742
35	24	123.00248
40	22	123.02525
62	14	123.02963
8	36	123.04429
82	8	123.07883
21	30	123.07923
6	37	123.15828
99	4	123.17166
90	6	123.21015
4	38	123.23954
75	10	123.24456
28	27	123.25146
48	19	123.25843
86	7	123.26863
2	39	123.28825
0	39	123.30447
19	31	123.40966
33	25	123.58389
43	21	123.59979
51	18	123.62177
72	11	123.67122
26	28	123.70335
38	23	123.70346
17	32	123.70525
79	9	123.81891
54	17	123.90495
95	5	123.93572
15	33	123.96661
69	12	123.97148
46	20	124.10145
57	16	124.10459
24	29	124.11825
31	26	124.12501
66	13	124.1567
13	34	124.19424
83	8	124.20701
60	15	124.21657
63	14	124.23594
100	4	124.2425
91	6	124.31065
41	22	124.33466
36	24	124.33838
87	7	124.38306
11	35	124.38857
76	10	124.39908
22	30	124.49704
49	19	124.52837
9	36	124.54996
29	27	124.62713
7	37	124.67873
5	38	124.7751
73	11	124.83829
3	39	124.83925
20	31	124.8405
1	40	124.8713
52	18	124.87822
44	21	124.89489
34	25	124.93164
80	9	124.95979
96	5	125.02138
39	23	125.02443
27	28	125.09137
55	17	125.14817
18	32	125.14933
70	12	125.15106
101	4	125.31289
84	8	125.33431
58	16	125.33478
67	13	125.34879
47	20	125.38262
92	6	125.41049
16	33	125.42412
61	15	125.43393
64	14	125.44062
32	26	125.48471
88	7	125.49672
25	29	125.51876
77	10	125.55249
42	22	125.64114
14	34	125.66541
37	24	125.67097
50	19	125.79593
12	35	125.87365
23	30	125.91019
30	27	125.99886
74	11	126.00413
10	36	126.04923
81	9	126.09968
97	5	126.1065
53	18	126.13246
45	21	126.18728
8	37	126.19245
21	31	126.26646
35	25	126.27592
6	38	126.30359
71	12	126.32928
40	23	126.34233
4	39	126.38283
56	17	126.38934
2	40	126.43032
0	40	126.44614
85	8	126.46073
28	28	126.47527
93	6	126.50969
68	13	126.53942
59	16	126.56309
19	32	126.58827
89	7	126.60962
65	14	126.6437
62	15	126.64956
48	20	126.66128
78	10	126.70481
33	26	126.84075
17	33	126.87626
26	29	126.91494
43	22	126.94477
38	24	127.00033
51	19	127.06117
15	34	127.13095
75	11	127.16876
98	5	127.19108
82	9	127.2386
24	30	127.3188
13	35	127.35283
31	27	127.36678
54	18	127.38455
46	21	127.47703
72	12	127.50618
11	36	127.54229
86	8	127.5863
94	6	127.60825
36	25	127.61681
57	17	127.62851
41	23	127.65724
22	31	127.68766
9	37	127.69966
90	7	127.72179
69	13	127.72859
60	16	127.78956
7	38	127.82524
66	14	127.8452
29	28	127.85515
79	10	127.85604
63	15	127.86347
5	39	127.91923
49	20	127.93748
3	40	127.98181
1	41	128.01307
20	32	128.02224
34	26	128.19325
44	22	128.24563
99	5	128.27514
27	29	128.30693
18	33	128.32318
52	19	128.32412
39	24	128.32656
76	11	128.3322
83	9	128.37657
16	34	128.59103
55	18	128.63452
73	12	128.68178
95	6	128.70618
87	8	128.71104
25	30	128.72302
32	27	128.73097
47	21	128.7642
14	35	128.82628
91	7	128.83322
58	17	128.86573
70	13	128.91635
37	25	128.95441
42	23	128.96922
80	10	129.00622
61	16	129.01421
12	36	129.02934
67	14	129.04516
64	15	129.07572
23	31	129.10426
10	37	129.20058
50	20	129.21128
30	28	129.23114
8	38	129.3403
100	5	129.35868
6	39	129.44872
21	32	129.45139
77	11	129.49448
84	9	129.5136
4	40	129.52603
35	26	129.5423
45	22	129.54377
2	41	129.57237
53	19	129.58485
0	41	129.5878
40	24	129.64971
28	29	129.69483
19	33	129.76505
96	6	129.8035
88	8	129.83495
74	12	129.85611
56	18	129.88243
92	7	129.94394
17	34	130.04581
48	21	130.04884
33	27	130.09154
59	17	130.10103
71	13	130.10272
26	30	130.12296
81	10	130.15537
62	16	130.23709
68	14	130.24361
43	23	130.27836
65	15	130.28633
38	25	130.28879
15	35	130.29418
101	5	130.44172
51	20	130.48274
13	36	130.51059
24	31	130.51639
31	28	130.60334
85	9	130.64971
78	11	130.65562
11	37	130.69542
46	22	130.83926
54	19	130.8434
9	38	130.84897
22	32	130.87585
36	26	130.88797
97	6	130.90021
89	8	130.95805
41	24	130.96988
7	39	130.97151
75	12	131.02919
93	7	131.05395
5	40	131.06324
29	29	131.07876
3	41	131.12431
57	18	131.12831
1	42	131.15482
20	33	131.202
72	13	131.28772
82	10	131.30349
49	21	131.33102
60	17	131.33445
69	14	131.44057
34	27	131.44859
63	16	131.45823
66	15	131.49533
18	34	131.49545
27	30	131.51875
44	23	131.58471
39	25	131.62004
52	20	131.75191
16	35	131.7567
86	9	131.78492
79	11	131.81563
25	31	131.92416
32	28	131.97184
14	36	131.98621
98	6	131.99633
90	8	132.08035
55	19	132.09982
47	22	132.13215
94	7	132.16326
12	37	132.18435
76	12	132.20103
37	26	132.23036
42	24	132.28713
23	32	132.29575
10	38	132.35147
58	18	132.37221
83	10	132.45061
30	29	132.45882
73	13	132.47139
8	39	132.48784
61	17	132.56604
6	40	132.59368
50	21	132.61078
21	33	132.6342
70	14	132.63608
4	41	132.66915
64	16	132.67767
67	15	132.70275
2	42	132.71439
0	42	132.72946
35	27	132.80219
45	23	132.88834
28	30	132.91048
87	9	132.91923
19	34	132.94011
40	25	132.94823
80	11	132.97455
53	20	133.01883
99	6	133.09186
91	8	133.20187
17	35	133.21401
95	7	133.27189
26	31	133.32769
33	28	133.33674
56	19	133.35415
77	12	133.37167
48	22	133.42252
15	36	133.45637
38	26	133.56954
84	10	133.59674
43	24	133.60153
59	18	133.61418
74	13	133.65374
13	37	133.66758
24	32	133.71122
62	17	133.79583
71	14	133.83017
31	29	133.83512
11	38	133.848
51	21	133.88819
65	16	133.89544
68	15	133.90863
9	39	133.99791
88	9	134.05267
22	33	134.06176
7	40	134.11756
81	11	134.13238
36	27	134.15244
100	6	134.18681
46	23	134.18932
5	41	134.20714
3	42	134.26677
41	25	134.27343
54	20	134.28355
1	43	134.29657
29	30	134.29828
92	8	134.32261
96	7	134.37985
20	34	134.37993
78	12	134.54113
57	19	134.60644
18	35	134.66626
34	28	134.69814
49	22	134.7104
27	31	134.72711
85	10	134.7419
75	13	134.8348
60	18	134.85424
39	26	134.9056
44	24	134.91314
16	36	134.92123
72	14	135.02286
63	17	135.02385
66	16	135.11157
69	15	135.113
25	32	135.12239
14	37	135.14527
52	21	135.16329
89	9	135.18525
32	29	135.20774
101	6	135.28119
82	11	135.28914
12	38	135.33874
93	8	135.4426
23	33	135.48483
97	7	135.48714
47	23	135.4877
37	27	135.49942
10	39	135.50193
55	20	135.54613
42	25	135.59572
8	40	135.63511
30	30	135.68224
79	12	135.70942
6	41	135.73848
4	42	135.81221
21	34	135.81504
2	43	135.8564
58	19	135.85673
0	43	135.87112
86	10	135.88612
50	22	135.99587
76	13	136.0146
35	28	136.05611
61	18	136.09244
19	35	136.11359
28	31	136.12252
73	14	136.21417
45	24	136.22203
40	26	136.23861
64	17	136.25014
70	15	136.31587
90	9	136.31698
67	16	136.3261
17	36	136.38096
53	21	136.43613
83	11	136.44486
26	32	136.52937
94	8	136.56184
33	29	136.57679
98	7	136.59379
15	37	136.61759
48	23	136.78354
56	20	136.8066
13	38	136.82386
38	27	136.8432
80	12	136.87657
24	33	136.90351
43	25	136.91516
11	39	137.00008
87	10	137.02939
31	30	137.06246
59	19	137.10505
9	40	137.14652
77	13	137.19315
22	34	137.24558
7	41	137.26341
51	22	137.27897
62	18	137.32882
5	42	137.35093
74	14	137.40413
3	43	137.4092
36	28	137.41074
1	44	137.43831
91	9	137.44787
65	17	137.47474
29	31	137.51402
71	15	137.51729
46	24	137.52826
68	16	137.53905
20	35	137.55614
41	26	137.56864
84	11	137.59955
95	8	137.68034
99	7	137.69979
54	21	137.70676
18	36	137.8357
27	32	137.93228
34	29	137.94235
81	12	138.0426
57	20	138.06501
49	23	138.07689
16	37	138.0847
88	10	138.17175
39	27	138.18387
44	25	138.23181
14	38	138.30353
25	33	138.31794
60	19	138.35146
78	13	138.37047
32	30	138.43905
12	39	138.49253
52	22	138.55975
63	18	138.56341
92	9	138.57795
75	14	138.59276
10	40	138.65198
23	34	138.67168
66	17	138.69767
72	15	138.71728
69	16	138.75046
85	11	138.75323
37	28	138.76212
8	41	138.78212
96	8	138.79812
100	7	138.80516
47	24	138.8319
6	42	138.88314
42	26	138.89575
30	31	138.90172
4	43	138.9552
55	21	138.97522
21	35	138.99406
2	44	138.99839
0	44	139.01278
82	12	139.20752
19	36	139.28559
35	29	139.30451
89	10	139.3132
58	20	139.3214
28	32	139.3312
50	23	139.36782
40	27	139.5215
45	25	139.54574
79	13	139.5466
17	37	139.54675
61	19	139.59598
93	9	139.70722
26	33	139.72823
15	38	139.77793
76	14	139.7801
64	18	139.79624
33	30	139.81207
53	22	139.83825
86	11	139.90591
101	7	139.9099
97	8	139.91518
73	15	139.91586
67	17	139.91897
70	16	139.96035
13	39	139.97947
24	34	140.09344
38	28	140.11032
48	24	140.13298
11	40	140.15168
43	26	140.22002
56	21	140.24157
31	31	140.28571
9	41	140.29481
83	12	140.37136
7	42	140.40907
22	35	140.42745
90	10	140.45376
5	43	140.49462
3	44	140.55158
59	20	140.57581
1	45	140.58005
51	23	140.65637
36	29	140.66335
80	13	140.72155
29	32	140.72626
20	36	140.73077
94	9	140.8357
62	19	140.83865
41	27	140.85615
46	25	140.85701
77	14	140.96615
18	37	141.00388
65	18	141.02736
98	8	141.03155
87	11	141.05762
74	15	141.11305
54	22	141.11454
27	33	141.13447
68	17	141.13867
71	16	141.16875
34	30	141.18164
16	38	141.24718
49	24	141.43158
39	28	141.45541
14	39	141.46105
57	21	141.50584
25	34	141.511
84	12	141.53412
44	26	141.54151
91	10	141.59344
12	40	141.64578
32	31	141.66609
10	41	141.80165
60	20	141.82828
23	35	141.85645
81	13	141.89534
8	42	141.92889
52	23	141.94259
95	9	141.96339
37	29	142.01895
6	43	142.02767
63	19	142.07952
4	44	142.09812
30	32	142.11755
2	45	142.14036
99	8	142.14722
78	14	142.15095
0	45	142.15443
47	25	142.16568
21	36	142.17137
42	27	142.1879
88	11	142.20836
66	18	142.25678
75	15	142.30889
69	17	142.35679
72	16	142.37569
55	22	142.38865
19	37	142.45623
28	33	142.53678
35	30	142.54782
85	12	142.69584
17	38	142.71145
50	24	142.72775
92	10	142.73225
58	21	142.76807
40	28	142.79747
45	26	142.86028
26	34	142.92445
15	39	142.93742
33	31	143.04294
82	13	143.06798
61	20	143.07885
96	9	143.09031
13	40	143.13446
53	23	143.22653
100	8	143.26221
24	35	143.28117
11	41	143.30284
64	19	143.31861
79	14	143.33452
89	11	143.35816
38	29	143.37139
9	42	143.4428
48	25	143.4718
67	18	143.48455
76	15	143.5034
31	32	143.50516
43	27	143.5168
7	43	143.55454
70	17	143.57338
73	16	143.58119
22	36	143.6075
5	44	143.63822
56	22	143.66062
3	45	143.69394
1	46	143.72178
86	12	143.85653
93	10	143.87022
20	37	143.90392
36	30	143.91069
29	33	143.93525
51	24	144.02152
59	21	144.02831
41	28	144.13656
18	38	144.17087
46	26	144.17638
97	9	144.21648
83	13	144.2395
62	20	144.32755
27	34	144.3339
101	8	144.37653
16	39	144.40874
34	31	144.41634
90	11	144.50703
54	23	144.50824
80	14	144.51687
65	19	144.55595
14	40	144.61786
77	15	144.6966
25	35	144.70173
68	18	144.71069
39	29	144.72073
49	25	144.77543
74	16	144.78529
71	17	144.78844
12	41	144.79852
44	27	144.84293
32	32	144.88918
57	22	144.93051
10	42	144.95098
94	10	145.00735
87	12	145.0162
23	36	145.03929
8	43	145.07543
6	44	145.17206
4	45	145.24099
37	30	145.27035
2	46	145.28231
60	21	145.28659
0	46	145.29608
52	24	145.31297
30	33	145.32998
98	9	145.3419
21	37	145.34709
84	13	145.40993
42	28	145.47276
47	26	145.48989
63	20	145.57442
19	38	145.62558
91	11	145.65497
81	14	145.69803
28	34	145.73945
35	31	145.78638
55	23	145.78776
66	19	145.79159
17	39	145.87514
78	15	145.88851
69	18	145.93524
75	16	145.988
72	17	146.00202
40	29	146.06705
50	25	146.07662
15	40	146.09614
26	35	146.11822
95	10	146.14366
45	27	146.16635
88	12	146.17486
58	22	146.19835
33	32	146.2697
13	41	146.28886
11	42	146.45358
99	9	146.46658
24	36	146.46685
61	21	146.54295
85	13	146.57926
9	43	146.59052
53	24	146.60212
38	30	146.62685
7	44	146.69985
31	33	146.72107
5	45	146.78173
22	37	146.78586
48	26	146.80085
92	11	146.80202
43	28	146.80613
64	20	146.8195
3	46	146.83625
1	47	146.8635
82	14	146.87801
67	19	147.02555
56	23	147.06514
20	38	147.07569
79	15	147.07915
29	34	147.14121
36	31	147.15314
70	18	147.15822
76	16	147.18934
73	17	147.21414
96	10	147.27915
89	12	147.33255
18	39	147.33676
51	25	147.37543
41	29	147.41041
59	22	147.46417
46	27	147.4871
27	35	147.53076
16	40	147.56943
100	9	147.59054
34	32	147.64679
86	13	147.74753
14	41	147.77401
62	21	147.79743
54	24	147.88904
25	36	147.89029
93	11	147.94818
12	42	147.95078
39	30	147.98028
83	14	148.05684
65	20	148.06282
10	43	148.09997
32	33	148.10859
49	26	148.10931
44	28	148.13672
23	37	148.22033
8	44	148.22177
68	19	148.25786
80	15	148.26855
6	45	148.31634
57	23	148.34042
71	18	148.37966
4	46	148.38381
77	16	148.38935
97	10	148.41385
2	47	148.42425
74	17	148.42481
0	47	148.43773
90	12	148.48927
37	31	148.5167
21	38	148.52133
30	34	148.53925
52	25	148.67189
101	9	148.71379
60	22	148.72803
42	29	148.75089
19	39	148.79373
47	27	148.80526
87	13	148.91475
28	35	148.93943
35	32	149.02055
17	40	149.03788
63	21	149.05007
94	11	149.09346
55	24	149.17376
84	14	149.23453
15	41	149.25412
66	20	149.30441
26	36	149.30971
40	30	149.33069
50	26	149.41533
13	42	149.44272
81	15	149.45673
45	28	149.4646
69	19	149.48855
33	33	149.49264
98	10	149.54776
78	16	149.58804
72	18	149.59958
11	43	149.60394
58	23	149.61363
75	17	149.63408
91	12	149.64503
24	37	149.65062
9	44	149.73798
7	45	149.84501
38	31	149.87712
5	46	149.92516
31	34	149.93368
22	38	149.96263
53	25	149.96605
3	47	149.97854
61	22	149.98995
1	48	150.00522
88	13	150.08093
43	29	150.08854
48	27	150.12086
95	11	150.23788
20	39	150.24617
64	21	150.30089
29	35	150.34434
36	32	150.39104
85	14	150.41111
56	24	150.45633
18	40	150.50162
67	20	150.5443
82	15	150.6437
41	30	150.67817
99	10	150.68089
70	19	150.71765
51	26	150.71896
27	36	150.72521
16	41	150.72932
79	16	150.78544
46	28	150.78982
92	12	150.79986
73	18	150.81802
76	17	150.84196
34	33	150.87329
59	23	150.88483
14	42	150.92956
25	37	151.07683
12	43	151.1026
39	31	151.23447
89	13	151.2461
10	44	151.24865
62	22	151.24998
54	25	151.25797
32	34	151.32457
8	45	151.3679
96	11	151.38145
23	38	151.39968
44	29	151.42342
49	27	151.43398
6	46	151.46051
4	47	151.52657
65	21	151.54994
2	48	151.56618
0	48	151.57937
86	14	151.58659
21	39	151.69419
57	24	151.73678
30	35	151.74557
37	32	151.75835
68	20	151.78252
100	10	151.81326
83	15	151.82949
71	19	151.9452
93	12	151.95376
19	40	151.96076
80	16	151.98157
52	26	152.02025
42	30	152.02276
74	18	152.035
77	17	152.04848
47	28	152.11245
28	36	152.13689
60	23	152.15404
17	41	152.19974
35	33	152.25062
90	13	152.41026
15	42	152.41142
26	37	152.49906
63	22	152.50815
97	11	152.52418
55	25	152.54769
40	31	152.58883
13	43	152.59608
33	34	152.71202
50	27	152.74465
11	44	152.75394
45	29	152.7556
87	14	152.76098
66	21	152.79724
24	38	152.83259
9	45	152.8852
101	10	152.94488
7	46	152.99002
84	15	153.01411
58	24	153.01517
69	20	153.01911
5	47	153.06852
94	12	153.10675
3	48	153.1208
38	32	153.12254
22	39	153.13791
31	35	153.14322
1	49	153.14693
72	19	153.17121
81	16	153.17644
75	18	153.25055
78	17	153.25365
53	26	153.31923
43	30	153.36453
20	40	153.41543
61	23	153.42131
48	28	153.43253
29	36	153.54483
91	13	153.57344
36	33	153.62471
18	41	153.66551
98	11	153.66609
64	22	153.76449
56	25	153.83525
16	42	153.88844
27	37	153.91742
88	14	153.93431
41	31	153.94025
67	21	154.04282
51	27	154.05292
14	43	154.08453
46	29	154.08513
34	34	154.09609
85	15	154.19759
12	44	154.25399
70	20	154.25409
95	12	154.25884
25	38	154.26147
59	24	154.29152
82	16	154.37009
73	19	154.39571
10	45	154.39704
79	17	154.45751
76	18	154.46468
39	32	154.48368
8	46	154.51386
32	35	154.53736
23	39	154.57744
6	47	154.60457
54	26	154.61597
4	48	154.66929
62	23	154.68666
44	30	154.70355
2	49	154.70809
0	49	154.72101
92	13	154.73565
49	28	154.75012
99	11	154.80719
21	40	154.86575
30	36	154.94913
37	33	154.99563
65	22	155.01904
89	14	155.1066
57	25	155.12069
19	41	155.12674
68	21	155.28672
42	31	155.28881
28	37	155.33198
52	27	155.35885
17	42	155.36076
86	15	155.37994
96	12	155.41006
47	29	155.41206
35	34	155.47686
71	20	155.48748
83	16	155.56252
60	24	155.56588
15	43	155.56808
74	19	155.61873
80	17	155.66007
77	18	155.67743
26	38	155.68641
13	44	155.74895
40	32	155.84183
93	13	155.8969
11	45	155.90359
55	26	155.9105
33	35	155.92807
100	11	155.94749
63	23	155.95015
24	39	156.01288
9	46	156.03219
45	30	156.03987
50	28	156.06526
7	47	156.13488
5	48	156.2118
3	49	156.26304
66	22	156.27182
90	14	156.27785
1	50	156.28864
22	40	156.31181
31	36	156.34988
38	33	156.36344
58	25	156.40405
69	21	156.52897
97	12	156.5604
87	15	156.56118
20	41	156.58357
43	31	156.63456
53	27	156.66248
72	20	156.71933
48	29	156.73645
29	37	156.74286
84	16	156.75376
18	42	156.82848
61	24	156.83829
75	19	156.84029
36	34	156.85441
81	17	156.86135
78	18	156.88881
16	43	157.04686
94	13	157.05721
101	11	157.087
27	38	157.10752
41	32	157.19707
56	26	157.20286
64	23	157.21179
14	44	157.23895
34	35	157.31544
46	30	157.37354
51	28	157.37801
12	45	157.40499
25	39	157.44434
91	14	157.44808
67	22	157.52288
10	46	157.54516
8	47	157.65963
59	25	157.68537
98	12	157.70988
39	33	157.72823
88	15	157.74133
32	36	157.74714
6	48	157.74853
23	40	157.75373
70	21	157.76958
4	49	157.81196
2	50	157.84998
0	50	157.86266
85	16	157.94383
73	20	157.94965
54	27	157.96385
44	31	157.97756
21	41	158.03608
49	29	158.05835
76	19	158.06042
82	17	158.06138
79	18	158.09885
62	24	158.10877
30	37	158.15011
95	13	158.21659
37	34	158.22882
19	42	158.29174
65	23	158.47163
57	26	158.49309
17	43	158.521
28	38	158.52487
42	32	158.54945
92	14	158.61732
52	28	158.68841
35	35	158.69953
47	30	158.70463
15	44	158.72413
68	22	158.77223
99	12	158.85852
26	39	158.87189
13	45	158.90137
89	15	158.92039
60	25	158.96468
71	21	159.00861
11	46	159.05293
40	33	159.09005
86	16	159.13274
33	36	159.14101
74	20	159.17846
9	47	159.17896
24	40	159.19161
83	17	159.26017
55	27	159.26301
77	19	159.27915
7	48	159.27962
80	18	159.30758
45	31	159.31787
5	49	159.35502
96	13	159.37506
63	24	159.37738
50	29	159.37781
3	50	159.40524
1	51	159.43034
22	41	159.4844
31	37	159.55385
38	34	159.60013
66	23	159.72969
20	42	159.75063
58	26	159.78124
93	14	159.78556
43	32	159.89903
29	38	159.93856
18	43	159.99061
53	28	159.99652
100	12	160.00633
69	22	160.01992
48	30	160.03317
36	35	160.08042
90	15	160.0984
16	44	160.20461
61	25	160.24204
72	21	160.24606
27	39	160.29565
87	16	160.32052
14	45	160.39287
75	20	160.4058
41	33	160.44896
84	17	160.45774
78	19	160.49648
81	18	160.515
34	36	160.53156
97	13	160.53262
12	46	160.55562
56	27	160.56
25	40	160.62554
64	24	160.64412
46	31	160.65554
10	47	160.69303
51	29	160.69487
8	48	160.80524
6	49	160.8924
23	41	160.92863
94	14	160.95284
32	37	160.95413
4	50	160.95459
39	34	160.96844
67	23	160.98601
2	51	160.99187
0	51	161.00429
59	26	161.06735
101	12	161.15331
21	42	161.20528
44	32	161.24587
70	22	161.26596
91	15	161.27537
54	28	161.30236
30	38	161.34867
49	30	161.35923
19	43	161.45581
37	35	161.45818
73	21	161.48196
88	16	161.50718
62	25	161.51746
76	20	161.63169
85	17	161.65412
17	44	161.6805
98	13	161.6893
79	19	161.71246
28	39	161.71569
82	18	161.72114
42	33	161.80502
57	27	161.85486
15	45	161.87962
65	24	161.90906
35	36	161.91885
47	31	161.99063
52	29	162.00959
13	46	162.05337
26	40	162.05561
95	14	162.11916
11	47	162.20196
68	23	162.24062
9	48	162.32554
40	34	162.33379
33	37	162.35104
60	26	162.35144
24	41	162.36885
7	49	162.42424
92	15	162.45131
5	50	162.49818
71	22	162.51039
3	51	162.54743
1	52	162.57204
45	32	162.59003
55	28	162.60598
22	42	162.65577
50	30	162.68285
89	16	162.69274
74	21	162.71635
31	38	162.75529
63	25	162.79099
38	35	162.83288
99	13	162.8451
86	17	162.84932
77	20	162.85616
20	43	162.9167
83	18	162.92603
80	19	162.92709
29	39	163.1321
58	27	163.14763
18	44	163.15193
43	33	163.15831
66	24	163.1722
96	14	163.28454
36	36	163.30297
53	29	163.322
48	31	163.32318
16	45	163.36173
27	40	163.48192
