n	m	jnm_deri
42	2	51.52135
24	7	51.639366
27	6	51.662881
16	10	51.687424
9	13	51.830784
49	1	51.977759
34	4	52.036083
7	14	52.143753
38	3	52.151712
19	9	52.261207
14	11	52.299319
5	15	52.375592
3	16	52.528819
43	2	52.587591
31	5	52.60217
1	17	52.605041
22	8	52.658661
12	12	52.815687
28	6	52.85858
25	7	52.865379
50	1	52.99764
17	10	53.004846
35	4	53.169469
10	13	53.243223
39	3	53.252634
20	9	53.545027
8	14	53.586995
15	11	53.64437
44	2	53.652877
32	5	53.765096
6	15	53.850795
23	8	53.910739
51	1	54.017259
4	16	54.037372
29	6	54.050719
26	7	54.08706
2	17	54.148597
0	17	54.185554
13	12	54.188831
36	4	54.300697
18	10	54.315216
40	3	54.352021
11	13	54.645106
45	2	54.717242
21	9	54.822933
33	5	54.925272
16	11	54.981507
9	14	55.018443
52	1	55.036625
24	8	55.157866
30	6	55.239461
27	7	55.304619
7	15	55.31282
37	4	55.429854
41	3	55.449931
5	16	55.531196
14	12	55.553128
19	10	55.61893
3	17	55.675665
1	18	55.747572
46	2	55.780718
12	13	56.037119
53	1	56.055744
34	5	56.082813
22	9	56.095236
17	11	56.311192
25	8	56.400286
31	6	56.424955
10	14	56.438892
28	7	56.518247
42	3	56.546419
38	4	56.557022
8	15	56.762598
47	2	56.843336
15	12	56.909109
20	10	56.916348
6	16	57.011376
54	1	57.074626
4	17	57.18752
35	5	57.237829
2	18	57.292599
0	18	57.327525
23	9	57.36222
13	13	57.419876
32	6	57.607342
18	11	57.63384
26	8	57.638225
43	3	57.641537
39	4	57.682277
29	7	57.728123
11	14	57.849057
48	2	57.905124
55	1	58.093277
9	15	58.200956
21	10	58.2078
16	12	58.257256
36	5	58.39042
7	16	58.478874
24	9	58.624147
5	17	58.685284
44	3	58.735331
33	6	58.786753
14	13	58.793934
40	4	58.805691
3	18	58.821948
27	8	58.871892
1	19	58.890002
30	7	58.934412
19	11	58.949832
49	2	58.96611
56	1	59.111704
12	14	59.249577
22	10	59.49359
37	5	59.540681
17	12	59.598006
10	15	59.628631
45	3	59.827849
25	9	59.881261
41	4	59.92733
8	16	59.934544
34	6	59.963309
50	2	60.026319
28	8	60.10148
57	1	60.129915
31	7	60.13727
15	13	60.159794
6	17	60.169946
20	11	60.259517
4	18	60.336771
2	19	60.43635
0	19	60.469458
13	14	60.64103
38	5	60.688701
23	10	60.773994
46	3	60.919134
18	12	60.931758
11	15	61.046289
42	4	61.04726
51	2	61.085776
26	9	61.133783
35	6	61.137123
58	1	61.147914
29	8	61.327168
32	7	61.336838
9	16	61.379151
16	13	61.517914
21	11	61.563212
7	17	61.642388
39	5	61.834565
5	18	61.838089
3	19	61.967753
47	3	62.009226
14	14	62.023938
1	20	62.032348
24	10	62.049271
52	2	62.144505
43	4	62.16554
59	1	62.165709
19	12	62.258877
36	6	62.308304
27	9	62.381921
12	15	62.454526
33	7	62.533253
30	8	62.549123
10	16	62.81338
22	11	62.861213
17	13	62.86871
40	5	62.978349
48	3	63.098164
8	17	63.103398
60	1	63.183304
53	2	63.202526
44	4	63.282226
25	10	63.319657
6	18	63.326809
15	14	63.398778
37	6	63.476951
4	19	63.48526
20	12	63.579698
2	20	63.579887
0	20	63.611357
28	9	63.625867
34	7	63.726638
31	8	63.767502
13	15	63.853886
41	5	64.12013
23	11	64.153789
49	3	64.185985
61	1	64.200706
18	13	64.212563
11	16	64.23785
54	2	64.259862
45	4	64.397372
9	17	64.553684
26	10	64.585372
38	6	64.643159
16	14	64.765981
7	18	64.803741
29	9	64.865801
21	12	64.894529
35	7	64.917111
32	8	64.982449
5	19	64.989801
3	20	65.113151
1	21	65.174621
62	1	65.21792
14	15	65.244861
42	5	65.259976
50	3	65.272723
55	2	65.316533
24	11	65.441191
46	4	65.511029
19	13	65.549823
12	16	65.653122
39	6	65.807015
27	10	65.846621
10	17	65.993885
30	9	66.101888
36	7	66.104783
17	14	66.125944
33	8	66.1941
22	12	66.203654
63	1	66.23495
8	18	66.269614
51	3	66.358413
56	2	66.372557
43	5	66.397954
6	19	66.482211
47	4	66.623245
15	15	66.6279
4	20	66.633094
2	21	66.723241
25	11	66.723651
0	21	66.753227
20	13	66.880811
40	6	66.968603
13	16	67.059705
28	10	67.103594
64	1	67.251802
37	7	67.289757
31	9	67.334286
34	8	67.402583
11	17	67.424578
57	2	67.427953
52	3	67.443086
18	14	67.479033
23	12	67.507336
44	5	67.534126
9	18	67.725085
48	4	67.734066
7	19	67.963239
26	11	68.001385
16	15	68.003416
41	6	68.128003
5	20	68.140573
21	13	68.205825
3	21	68.258197
65	1	68.268479
1	22	68.316831
29	10	68.356467
14	16	68.458065
38	7	68.472132
58	2	68.482739
53	3	68.526771
32	9	68.563139
35	8	68.608018
45	5	68.668552
24	12	68.805819
19	14	68.82558
49	4	68.843535
12	17	68.846291
10	18	69.170751
27	11	69.274594
66	1	69.284988
42	6	69.285288
17	15	69.371785
8	19	69.433559
22	13	69.52514
59	2	69.53693
30	10	69.605407
54	3	69.609497
6	20	69.636354
39	7	69.651998
4	21	69.780364
33	9	69.788584
46	5	69.801287
36	8	69.810516
15	16	69.848627
2	22	69.866436
0	22	69.895072
50	4	69.951693
25	12	70.099328
20	14	70.165896
13	17	70.259501
67	1	70.301331
43	6	70.440529
28	11	70.543464
60	2	70.590544
11	18	70.607153
55	3	70.691292
18	15	70.733354
40	7	70.829443
23	13	70.839009
31	10	70.850569
9	19	70.893785
47	5	70.932385
37	8	71.010185
34	9	71.010749
51	4	71.058579
7	20	71.121133
16	16	71.231781
5	21	71.290529
68	1	71.317513
26	12	71.388075
3	22	71.402938
1	23	71.458987
21	14	71.500267
44	6	71.593793
61	2	71.643595
14	17	71.66465
56	3	71.772183
29	11	71.808171
41	7	72.004549
12	18	72.034785
48	5	72.061896
19	15	72.088446
32	10	72.092098
24	13	72.147669
52	4	72.164231
38	8	72.207123
35	9	72.229756
69	1	72.333537
10	19	72.344472
8	20	72.595537
17	16	72.607888
27	12	72.672257
62	2	72.696099
45	6	72.745144
6	21	72.789404
22	14	72.828956
57	3	72.852193
4	22	72.927142
2	23	73.009493
0	23	73.036895
15	17	73.062139
30	11	73.068878
42	7	73.177394
49	5	73.18987
53	4	73.268685
33	10	73.330129
70	1	73.349409
39	8	73.401424
20	15	73.437355
36	9	73.445718
25	13	73.451341
13	18	73.454099
63	2	73.748068
11	19	73.786129
46	6	73.89464
58	3	73.931346
28	12	73.952056
18	16	73.977278
9	20	74.060136
23	14	74.152212
7	21	74.277631
50	5	74.31635
31	11	74.325738
43	7	74.348051
71	1	74.36513
54	4	74.371974
5	22	74.439775
16	17	74.45234
3	23	74.547413
34	10	74.564793
40	8	74.593179
1	24	74.601096
37	9	74.658741
26	13	74.750229
21	15	74.780358
64	2	74.799517
14	18	74.86551
59	3	75.009667
47	6	75.04234
12	19	75.219222
29	12	75.227644
19	16	75.340259
72	1	75.380705
51	5	75.441381
24	14	75.470262
55	4	75.47413
10	20	75.515454
44	7	75.51659
32	11	75.578896
8	21	75.755797
41	8	75.782471
35	10	75.796209
17	17	75.835596
65	2	75.850458
38	9	75.868928
6	22	75.941496
27	13	76.044527
4	23	76.07349
60	3	76.087175
22	15	76.117709
2	24	76.152429
0	24	76.1787
48	6	76.188297
15	18	76.269402
73	1	76.396137
30	12	76.499183
52	5	76.565006
56	4	76.575186
13	19	76.644176
45	7	76.683077
20	16	76.697116
25	14	76.783321
33	11	76.828488
66	2	76.900905
11	20	76.961967
42	8	76.96938
36	10	77.024491
39	9	77.076373
61	3	77.163893
18	17	77.212223
9	21	77.224435
